"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0" "report-def-0(instantaneous values)")
1 -2.336858533549409 -2.336858533549409
2 -2.103701228187402 -1.870543922825396
3 -1.969191469091014 -1.700171950898237
4 -1.72011004494166 -1.589614261101347
5 -1.590352626313909 -1.481271666942144
6 -1.50388196692601 -1.440759972734538
7 -1.448739628182319 -1.424187244870276
8 -1.418608221950199 -1.390877448245782
9 -1.387841814493183 -1.348460750363491
10 -1.345697315166244 -1.297753746889459
11 -1.296469376723566 -1.243193632917748
12 -1.242823462994658 -1.187523009176765
13 -1.188948317150731 -1.136128309357679
14 -1.139083266439302 -1.09359848078346
15 -1.096850840831257 -1.060825732352631
16 -1.063467351904449 -1.035977842577254
17 -1.037536462993839 -1.015805814051631
18 -1.019146163077387 -1.005654832603275
19 -1.005199472630187 -0.9941377712356536
20 -0.9946988294834836 -0.9843038846115214
21 -0.9848259858122859 -0.9760363015896816
22 -0.9762617117499701 -0.9684449490487067
23 -0.9684164210108417 -0.9607680123941362
24 -0.960589598359333 -0.9525558336351561
25 -0.9523375187474042 -0.9436887102129201
26 -0.9423003795866723 -0.9306565949119406
27 -0.9332648010744894 -0.9254490980986068
28 -0.9246251357442959 -0.9177697142223397
29 -0.9188500563519194 -0.9133313567348107
30 -0.9131123622570335 -0.9082360158139492
31 -0.9090585290022902 -0.9056082144581099
32 -0.9058310192174458 -0.9036488273802773
33 -0.9037864475116404 -0.9021023006965333
34 -0.9022625405975022 -0.9010364937156956
35 -0.9004079454410094 -0.8980850419107989
36 -0.8979179812082195 -0.8946324079981632
37 -0.8938964589003335 -0.888971926792038
38 -0.8884570875876627 -0.8817669279727862
39 -0.8814196062927686 -0.8735199641134812
40 -0.8729465600260041 -0.8635527879917446
41 -0.864270742409491 -0.8557394751232467
42 -0.8553086220348076 -0.846633602989431
43 -0.8475339085401612 -0.8402286475078052
44 -0.8403016051760073 -0.834042565030785
45 -0.8342001012654715 -0.8283290912578236
46 -0.8285088462764505 -0.8231548825407423
47 -0.8233387767168002 -0.818532356351834
48 -0.8187615084306709 -0.8145972863994356
49 -0.8148179617195001 -0.8113242424072297
50 -0.8115393879987031 -0.808696635189443
51 -0.8089513960262944 -0.8068333104822099
52 -0.8071134022202092 -0.8058102609889742
53 -0.80608969596652 -0.8056255164283755
54 -0.8059000126111738 -0.8062642604161715
55 -0.8065128479925009 -0.8076487671329552
56 -0.807870399826629 -0.8096981719307601
57 -0.8098914587623413 -0.8123274372233081
58 -0.8124686038439045 -0.8153802023776452
59 -0.8154705181406031 -0.8187039148208561
60 -0.8187551899307334 -0.8221814525936988
61 -0.8221904083575984 -0.8256858576582399
62 -0.8256817223041065 -0.8291778566603804
63 -0.8291560763610925 -0.8326045147646566
64 -0.8325678908575124 -0.8359213011474997
65 -0.8358676897207115 -0.8390772532499774
66 -0.8390206301191432 -0.8420633359599521
67 -0.8420032390906801 -0.8448691280621106
68 -0.8448067097586504 -0.8474876652538887
69 -0.8474323466588064 -0.8499402466604202
70 -0.8498660922110819 -0.8521703647189369
71 -0.852074842361714 -0.8541139157057849
72 -0.8540150773531465 -0.8557609516347177
73 -0.8556751382869026 -0.8571505475202049
74 -0.8570962005961634 -0.8583771026335676
75 -0.8583479783499133 -0.8595162848959674
76 -0.8595128422663914 -0.8606451392696391
77 -0.8606641643056786 -0.8618310687514291
78 -0.8616578702071145 -0.8624974026002752
79 -0.862618467538567 -0.863526931263997
80 -0.8633500173045233 -0.8640257180492978
81 -0.8640941957349376 -0.8647299378915179
82 -0.8645476634477118 -0.8648873344023201
83 -0.8648944640666855 -0.8650661199062185
84 -0.8649942253258219 -0.8650292216689276
85 -0.8650023324402776 -0.8649116557456867
86 -0.8649259005420359 -0.8648368242114933
87 -0.8649199953478205 -0.8650115060862813
88 -0.8650055185531648 -0.8651682253617196
89 -0.8652104879053573 -0.8654517322680707
90 -0.8654945811197085 -0.8658637857293352
91 -0.8658681194274235 -0.8662888402848646
92 -0.8663287358895752 -0.8668335816545256
93 -0.866840696215372 -0.8673996667067262
94 -0.8674321700424789 -0.8680632617661853
95 -0.8680680656600085 -0.8687412685071143
96 -0.8687980740610716 -0.8695896919099153
97 -0.869613904016036 -0.8705107516310786
98 -0.8705270685650763 -0.8714807621542353
99 -0.8714916919960597 -0.8724835622028657
100 -0.8724790635412617 -0.8734728662666846
101 -0.873456111519935 -0.8744119060902552
102 -0.8743868375963691 -0.875275740432168
103 -0.875245258135974 -0.8760481278854991
104 -0.8760096733202473 -0.8767051516430748
105 -0.8766627330379094 -0.8772349195851549
106 -0.8771927041937554 -0.877638041353037
107 -0.877590127571361 -0.8778974217758913
108 -0.8778423410281504 -0.8779915599555228
109 -0.8779229494198355 -0.8778798665280922
110 -0.8778858237322064 -0.8777860447130035
111 -0.8777289119529392 -0.8775208246177216
112 -0.8774939401625884 -0.8771749511570395
113 -0.8771700456582772 -0.8768143612000699
114 -0.8767685039520661 -0.8763161994990883
115 -0.8763293518799286 -0.8758574949406273
116 -0.8758370432290356 -0.8753374352473905
117 -0.8753523247728556 -0.8748620441305488
118 -0.8748771934614918 -0.8744321010065358
119 -0.8744489404442616 -0.8740526761956997
120 -0.8740732015296384 -0.8737348273866793
121 -0.8737575308255828 -0.873485088894369
122 -0.8735364456417938 -0.8733894206443327
123 -0.8734008529740493 -0.8733280493834463
124 -0.8734067061970601 -0.873502648563401
125 -0.8735262533138414 -0.8737480619946766
126 -0.8737581806389813 -0.8740238313588666
127 -0.8740697259037683 -0.8744372843577622
128 -0.8744628933117986 -0.8749275642187675
129 -0.8749423017517444 -0.8754620566787038
130 -0.8754685243632837 -0.8760159521923803
131 -0.8760158854364942 -0.8765696474383988
132 -0.8765645753023555 -0.8771081262762874
133 -0.877092904795489 -0.8776009406717805
134 -0.8775784968053539 -0.8780264234679939
135 -0.8779956272352593 -0.8783595175660035
136 -0.8783319005809118 -0.8786097607087383
137 -0.8786004261529499 -0.878832000184108
138 -0.878800706956897 -0.8789603599778453
139 -0.8789451357313084 -0.8790430470319724
140 -0.8790184377704287 -0.8790519063014685
141 -0.8790392817793453 -0.879022892004595
142 -0.8790048067195778 -0.8789396218526696
143 -0.8789443556076267 -0.8788705529656158
144 -0.8788443298856495 -0.8787228148386632
145 -0.8787069677076172 -0.8785275353185725
146 -0.8785159550510707 -0.8782975149959757
147 -0.8782885522013153 -0.8780406062893974
148 -0.8780333223062389 -0.8777618456333434
149 -0.8777573898450642 -0.8774697176124522
150 -0.8774688933002861 -0.8771751166550629
151 -0.8771782183523191 -0.8768898207894426
152 -0.8768916322849089 -0.8766099594102211
153 -0.8766252311633543 -0.8763759132903991
154 -0.8763663600615267 -0.8761132074839595
155 -0.8761436384629434 -0.8759417946144717
156 -0.8759424533698404 -0.8757723580110902
157 -0.8758009275917403 -0.8756886301496591
158 -0.8757009219092547 -0.8756417775670144
159 -0.8756689525859565 -0.8756764500411954
160 -0.8756916507792042 -0.8757567247294024
161 -0.8757755533391741 -0.8758934852469242
162 -0.8758974455997568 -0.8760421268229435
163 -0.8760668663021564 -0.8762649868366009
164 -0.8762767111922836 -0.8765230199173063
165 -0.8765300105986032 -0.8768020250419026
166 -0.876804805940718 -0.8770893728629445
167 -0.8770882216421542 -0.8773732670216152
168 -0.8773674556578376 -0.8776397270889522
169 -0.8776311079895773 -0.877880329858164
170 -0.8778714780417243 -0.8780943771780561
171 -0.8780721023586816 -0.8782416000398245
172 -0.8782408899013704 -0.8783866924862305
173 -0.8783630920119686 -0.8784609835098508
174 -0.8784519807265881 -0.8785082661836833
175 -0.8784899225801824 -0.8785005180470131
176 -0.8784889329448849 -0.8784580146039586
177 -0.8784458125630276 -0.8783789050381109
178 -0.8783683337650096 -0.8782680816529593
179 -0.8782591281118562 -0.8781303976444989
180 -0.878129817812551 -0.8779909741401949
181 -0.8779773970950696 -0.8778108195005151
182 -0.8778035524132813 -0.8776088635991337
183 -0.8776059712801817 -0.8773982307408962
184 -0.8773978704310509 -0.8771865169531227
185 -0.8771885401636993 -0.8769808727970793
186 -0.8769841502774032 -0.8767850610820078
187 -0.8767909057117541 -0.8766067832561755
188 -0.8766155374510607 -0.876454768014999
189 -0.8764648258184039 -0.8763329261840378
190 -0.8763300885050365 -0.876202571316073
191 -0.8762215783919699 -0.8761292376757992
192 -0.8761324777211478 -0.8760656241715716
