"report-def-0-rfile"
"Iteration" "report-def-0 etc.."
("Iteration" "report-def-0" "report-def-1")
1 -0.6340448404548178 -247.6594987255616
2 -0.6961928496553001 -271.9346663845907
3 -0.7202791469402808 -281.3428342792686
4 -0.7379836256279165 -288.2582478860286
5 -0.7472291074535377 -291.8695561852447
6 -0.753991071879669 -294.5107963836106
7 -0.7494205055162073 -292.7255217433267
8 -0.7323716842440904 -286.0662095611072
9 -0.7128449432995514 -278.4390157642151
10 -0.691743425171493 -270.1967100651505
11 -0.6717592329731336 -262.3908346656586
12 -0.6503214249207583 -254.0171732819975
13 -0.618651770580587 -241.6469271759454
14 -0.5942894827134213 -232.1309566703546
15 -0.5744895548248459 -224.3970553706148
16 -0.5569574747243 -217.5489810826781
17 -0.5422988828515877 -211.8232984754126
18 -0.5310724752307475 -207.4382356116068
19 -0.5216964550276909 -203.7759386960384
20 -0.515359911663387 -201.3008690272583
21 -0.5088854317606496 -198.771921001957
22 -0.5031990403094141 -196.5508022947058
23 -0.4997568856439026 -195.2062880827694
24 -0.4959646466086366 -193.7250300413858
25 -0.4931246470878963 -192.6157191333704
26 -0.4905614207217497 -191.614516511006
27 -0.488374923687715 -190.7604653069531
28 -0.4867230329292574 -190.1152326497557
29 -0.4847309328580658 -189.3371133850542
30 -0.4822188768571911 -188.3558980352046
31 -0.480813461303243 -187.8069392086614
32 -0.4795178754881368 -187.3008801524991
33 -0.478484896859058 -186.8973961192746
34 -0.4775819978674428 -186.5447215174233
35 -0.4769279044130247 -186.289230979996
36 -0.4761813408818044 -185.9976213995503
37 -0.4754068013106794 -185.6950843080248
38 -0.4748251040443364 -185.467871902528
39 -0.4740659346496419 -185.1713384403159
40 -0.4731806056712261 -184.8255267295158
41 -0.4727467716267215 -184.656070067878
42 -0.4721242704937056 -184.4129195701179
43 -0.4714715381187625 -184.1579606737339
44 -0.4708136284453052 -183.9009795116157
45 -0.4701635506216054 -183.6470574895792
46 -0.4695443645062872 -183.4052018460138
47 -0.468845569891938 -183.1322509238397
48 -0.4678955231766146 -182.7611603033182
49 -0.4674307458200406 -182.57961710668
50 -0.4669949591624665 -182.4093977494991
51 -0.4664298415135545 -182.188661383992
52 -0.4660856250506878 -182.054209573635
53 -0.4655997357789998 -181.8644200102091
54 -0.4651953368080636 -181.7064607618453
55 -0.4652474988142787 -181.7268353717901
56 -0.4652004547911962 -181.7084598588432
57 -0.4650356868262455 -181.6441010800912
58 -0.4648861093629768 -181.5856757492468
59 -0.4650887499284896 -181.6648276603961
60 -0.4651437906309051 -181.6863266962686
61 -0.464936700711348 -181.6054368563137
62 -0.4652524620028236 -181.7287740056353
63 -0.4655194543513698 -181.8330618840085
64 -0.4658760658950618 -181.9723552439027
65 -0.4660520076963826 -182.0410785510567
66 -0.4662037852715952 -182.100363251123
67 -0.4665431471307863 -182.2329188411559
68 -0.4671479443223098 -182.4691541351391
69 -0.4675769451472199 -182.6367229291283
70 -0.4680669133658186 -182.828105739408
71 -0.4686631052337559 -183.0609797724996
72 -0.4689830230640896 -183.1859404762835
73 -0.4692333303621958 -183.2837111322703
74 -0.4696937443124107 -183.4635499714835
75 -0.4700888420676744 -183.6178761417682
76 -0.4707311018128418 -183.8687444027979
77 -0.471160278706638 -184.0363819697339
78 -0.4714791705759867 -184.160941930594
79 -0.4717255428468665 -184.2571755551152
80 -0.4722086255706024 -184.4458688738994
81 -0.4726913872295375 -184.6344367839703
82 -0.4729653687601901 -184.7414546543354
83 -0.4733564524483128 -184.8942129199665
84 -0.4735593097019007 -184.9734494700193
85 -0.4737537853000992 -185.049412124537
86 -0.4739717014544216 -185.1345307188386
87 -0.4742039197973283 -185.2252357837326
88 -0.4745381711670742 -185.3557952038206
89 -0.4749994823908132 -185.535984520314
90 -0.4750514916898981 -185.5562994824722
91 -0.4752481097894236 -185.6330990033608
92 -0.4754961214750074 -185.7299729873612
93 -0.4758287071980465 -185.8598818016843
94 -0.4759059173510212 -185.8900402803315
95 -0.4759034536559488 -185.8890779548812
96 -0.4759798369286268 -185.9189134520187
97 -0.4761316161913084 -185.9781988112146
98 -0.4762120818086653 -186.0096288823827
99 -0.4763825792391154 -186.0762256046728
100 -0.4764014755212416 -186.0836065396801
101 -0.4764000580774831 -186.0830528826069
102 -0.476387467082226 -186.0781348084031
103 -0.4764871711555388 -186.1170794685314
104 -0.4764480341784595 -186.1017924675077
105 -0.4764387552468376 -186.0981680936345
106 -0.4764499935706515 -186.1025578109931
107 -0.4765513894662219 -186.1421633011218
108 -0.4766203842586298 -186.1691128394071
109 -0.4767421990244308 -186.2166939912606
110 -0.476782207326129 -186.2323213338573
111 -0.4768101794560486 -186.2432473176871
112 -0.476886391042284 -186.2730157536712
113 -0.4770141919516511 -186.3229351081569
114 -0.4771687327132284 -186.3832991157206
115 -0.4773152154399452 -186.4405156347362
116 -0.4774590635192055 -186.4967030538731
