"report-def-0-rfile"
"Iteration" "report-def-0 etc.."
("Iteration" "report-def-0" "report-def-1")
2 -0.8002152163282528 -78.14151567192837
3 -0.8267593791111623 -80.73356974660132
4 -0.8370906573336925 -81.74242551772895
5 -0.8392754793572417 -81.95577475292208
6 -0.83648175334429 -81.68296566285525
7 -0.8300506069578683 -81.05496020146336
8 -0.8041216185341211 -78.5229782871875
9 -0.7723937213025802 -75.42472930595495
10 -0.739008523470865 -72.16464388600053
11 -0.7059903398644067 -68.94039763437178
12 -0.6758018587246766 -65.99247359599124
13 -0.6509886302588956 -63.56944633849081
14 -0.6298652449404447 -61.50673456892503
15 -0.6120481519837875 -59.76688431352858
16 -0.5971908130978194 -58.31605589173463
17 -0.5847746793758591 -57.10361267893108
18 -0.5742512498328377 -56.07599321134384
19 -0.5652594885117157 -55.19794210227261
20 -0.5575674471809922 -54.44680946204137
21 -0.5510544107054007 -53.81080738229524
22 -0.5455192083714269 -53.27029141721256
23 -0.5408538331125298 -52.81471460928669
24 -0.5370017580231928 -52.43855707088842
25 -0.5338516118122939 -52.13094332587954
26 -0.5312896254818006 -51.88076376054448
27 -0.5292500247627214 -51.68159547643499
28 -0.5276099766734313 -51.52144375617652
29 -0.5262139248818012 -51.38511842677946
30 -0.5249248822466847 -51.2592426083516
31 -0.5236722772341603 -51.13692494652804
32 -0.5224455461286658 -51.01713388788623
33 -0.5212538348723873 -50.90076253939303
34 -0.5201037074791458 -50.78845188109779
35 -0.5189908169775211 -50.67977742852631
36 -0.5179174668581936 -50.57496411898222
37 -0.5168868539174355 -50.47432412161818
38 -0.5159080127184605 -50.3787396671748
39 -0.5149851074826857 -50.28861739447432
40 -0.51412123076545 -50.20425929347716
41 -0.5133169466076368 -50.12572044312785
42 -0.5125702523895284 -50.05280528636017
43 -0.5118801442547224 -49.98541579596944
44 -0.5112468150499471 -49.92357080355912
45 -0.5106720108616875 -49.86744081556505
46 -0.5101558354909481 -49.81703596822015
47 -0.5096986367828105 -49.77239022881388
48 -0.5092992776442696 -49.73339255950411
49 -0.5089565505050092 -49.69992504029521
50 -0.5087235166202155 -49.67716913589709
51 -0.5086306546930578 -49.66810111071054
52 -0.5084840253993613 -49.65378266859953
